880008 全Ａ等权 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/01/02	678.37	687.47	678.37	687.26	685202816	751265447936.00
2020/01/03	688.75	692.05	686.54	690.84	635299456	695215259648.00
2020/01/06	687.33	699.84	687.33	695.80	751745344	803877617664.00
2020/01/07	697.72	705.21	697.72	705.21	690700032	732113534976.00
2020/01/08	702.83	705.68	694.81	695.81	759860288	779030560768.00
2020/01/09	701.92	706.41	701.77	706.41	639631296	706416214016.00
2020/01/10	707.11	707.16	701.66	704.60	565803456	639989579776.00
2020/01/13	702.89	711.74	700.47	711.74	555483712	667763212288.00
2020/01/14	713.45	714.89	711.72	711.97	606826112	701717282816.00
2020/01/15	710.61	711.45	705.24	708.52	533175520	610895659008.00
2020/01/16	708.00	710.20	705.28	705.98	521025120	612595138560.00
2020/01/17	708.06	709.18	703.37	704.17	494836224	607253299200.00
2020/01/20	703.74	710.63	702.13	710.63	540833600	678968623104.00
2020/01/21	708.56	708.56	702.21	702.22	572986432	690297831424.00
2020/01/22	693.46	705.17	689.19	702.74	575446848	707752296448.00
2020/01/23	697.39	700.02	673.08	678.80	674857472	808616591360.00
2020/02/03	616.92	620.97	616.78	618.45	410418048	518899761152.00
2020/02/04	601.81	616.87	601.81	615.10	874618688	909622050816.00
2020/02/05	619.34	637.81	619.34	631.83	763700096	871913816064.00
2020/02/06	629.93	650.72	629.93	648.47	796734656	913075208192.00
2020/02/07	649.57	656.30	644.19	656.30	798506048	929291436032.00
2020/02/10	656.88	666.78	655.45	666.78	765156224	885468364800.00
2020/02/11	662.86	667.08	660.12	663.09	686572544	785822515200.00
2020/02/12	663.50	674.13	663.50	674.13	668446592	789871788032.00
2020/02/13	674.64	675.30	665.73	667.66	729637696	870881558528.00
2020/02/14	667.08	673.41	664.04	668.78	667403776	812805390336.00
2020/02/17	676.25	691.45	676.25	691.45	793719552	936927494144.00
2020/02/18	694.62	703.26	691.52	703.26	839203392	999715504128.00
2020/02/19	702.93	706.87	699.38	699.38	852354432	1038549516288.00
2020/02/20	702.26	711.96	697.10	711.96	896693056	1068104941568.00
2020/02/21	713.95	723.11	713.41	719.20	964245568	1170741526528.00
2020/02/24	720.57	729.61	715.70	728.11	990215488	1221727617024.00
2020/02/25	717.15	727.17	701.01	726.61	1171058560	1414872825856.00
2020/02/26	718.54	729.16	713.83	715.93	1154774144	1312359186432.00
2020/02/27	718.43	723.50	711.44	717.76	901778432	1050355892224.00
2020/02/28	698.76	702.74	679.67	679.74	1011234880	1129083568128.00
2020/03/02	692.52	709.98	690.24	707.91	899145920	1029006426112.00
2020/03/03	720.02	727.63	710.31	716.68	1011147712	1175696441344.00
2020/03/04	713.58	724.07	712.35	724.07	866288512	991828508672.00
2020/03/05	730.34	737.44	730.23	737.44	1037831744	1171637796864.00
2020/03/06	731.74	740.85	731.74	736.23	900455552	957294247936.00
2020/03/09	729.69	729.69	712.12	712.12	998655872	1085931782144.00
2020/03/10	710.19	727.27	694.07	727.27	974033280	1081228525568.00
2020/03/11	729.90	734.14	720.98	720.98	881609344	972651888640.00
2020/03/12	709.01	713.66	701.14	707.46	772932736	837373001728.00
2020/03/13	675.58	703.74	675.58	698.99	894699264	966388809728.00
2020/03/16	704.60	705.65	670.56	672.18	871781056	963032055808.00
2020/03/17	673.38	674.96	648.25	670.33	754711680	817820139520.00
2020/03/18	675.74	685.13	659.66	659.66	743302144	836776034304.00
2020/03/19	661.78	667.01	646.74	664.54	733936512	822176841728.00
2020/03/20	669.43	674.07	663.96	674.07	631598208	716794822656.00
2020/03/23	660.92	664.06	646.61	648.23	637475520	687193456640.00
2020/03/24	657.47	661.67	643.69	660.77	654997248	712317861888.00
2020/03/25	670.29	676.39	669.97	676.23	689585664	751137062912.00
2020/03/26	671.43	676.32	668.90	669.50	606783808	642329083904.00
2020/03/27	674.52	677.37	666.88	667.01	585455808	633759662080.00
2020/03/30	652.03	657.05	646.33	652.45	595968192	632964579328.00
2020/03/31	657.59	657.61	651.92	652.49	533619968	561618550784.00
2020/04/01	650.99	658.47	647.83	648.75	550029888	584733097984.00
2020/04/02	646.74	662.52	645.56	662.52	545755392	597610070016.00
2020/04/03	662.12	664.05	657.10	659.28	520498656	572220178432.00
2020/04/07	669.76	679.70	669.76	679.68	671484864	731848704000.00
2020/04/08	677.40	684.60	677.40	682.92	640035584	673881915392.00
2020/04/09	684.87	690.36	684.87	688.80	615303168	653058899968.00
2020/04/10	685.57	685.57	670.56	672.81	627907648	671939362816.00
2020/04/13	662.93	670.07	662.93	667.21	474882304	498920062976.00
2020/04/14	669.26	679.22	669.26	679.22	532278848	589199900672.00
2020/04/15	678.10	681.26	674.70	675.13	584506816	640933101568.00
2020/04/16	670.71	678.84	670.71	678.04	551450176	594869551104.00
2020/04/17	681.44	682.99	677.53	677.89	646853696	740148117504.00
2020/04/20	679.03	685.49	678.75	685.49	551717696	617161490432.00
2020/04/21	681.34	682.20	675.54	682.20	592222976	649179234304.00
2020/04/22	677.30	688.51	677.30	688.51	561713856	605819437056.00
2020/04/23	689.24	690.77	685.83	686.01	631142720	670402609152.00
2020/04/24	684.31	684.42	672.10	674.06	607604736	625068670976.00
2020/04/27	672.07	674.95	669.14	669.63	530168544	556541411328.00
2020/04/28	667.42	667.42	638.43	655.49	637985728	673719582720.00
2020/04/29	655.28	659.55	654.02	654.51	491921344	532637417472.00
2020/04/30	659.07	669.82	659.07	668.73	589910592	678854459392.00
2020/05/06	667.73	680.50	667.65	680.50	599528128	720922607616.00
2020/05/07	681.01	682.72	678.02	679.10	572204864	667078361088.00
2020/05/08	681.67	688.00	681.67	686.40	580717120	687297921024.00
2020/05/11	688.86	690.62	683.09	686.50	574075520	684561399808.00
2020/05/12	686.20	686.20	678.17	686.07	505306464	598925705216.00
2020/05/13	684.01	690.08	683.33	689.81	482975424	581033066496.00
2020/05/14	686.23	689.31	684.22	684.37	522238688	609853112320.00
2020/05/15	687.53	689.59	684.32	686.06	505695680	626674761728.00
2020/05/18	685.53	688.41	681.67	683.29	587238144	731447230464.00
2020/05/19	687.19	691.09	686.29	691.09	506799776	641302659072.00
2020/05/20	689.68	690.39	683.93	685.91	555484864	686533902336.00
2020/05/21	685.56	687.27	678.98	679.66	524349408	625969266688.00
2020/05/22	678.10	678.10	665.17	668.95	508394688	592519823360.00
2020/05/25	666.79	670.07	665.70	668.10	413946144	490405789696.00
2020/05/26	671.32	682.20	671.32	682.20	444764384	529738661888.00
2020/05/27	682.84	683.96	679.49	680.96	491188544	572981116928.00
2020/05/28	680.01	682.54	670.90	678.81	504257376	578079424512.00
2020/05/29	677.87	685.32	677.87	684.10	500959552	571544895488.00
2020/06/01	689.26	703.14	689.26	703.14	649985408	761352880128.00
2020/06/02	703.75	708.09	703.59	707.14	675113600	771898605568.00
2020/06/03	707.55	712.45	707.40	707.82	673976192	777345368064.00
2020/06/04	709.39	711.50	706.13	710.62	584969920	650442309632.00
2020/06/05	710.44	711.27	706.31	710.60	559465024	631341449216.00
2020/06/08	712.75	713.36	708.74	709.56	587703680	684018302976.00
2020/06/09	707.72	712.90	707.72	712.90	538677568	620143378432.00
2020/06/10	710.35	711.36	707.84	711.36	526947168	614951223296.00
