600009 上海机场 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/01/02	78.78	78.91	77.10	77.36	15826563	1228130560.00
2020/01/03	77.50	77.65	76.94	77.30	9171607	708178944.00
2020/01/06	76.90	76.90	75.04	75.60	17458847	1324704512.00
2020/01/07	75.40	75.40	74.82	75.25	14346062	1076915328.00
2020/01/08	75.00	75.59	74.63	75.06	9265957	696447808.00
2020/01/09	75.59	76.06	75.37	75.56	11018143	834219392.00
2020/01/10	75.56	75.99	74.80	75.92	13348653	1007257792.00
2020/01/13	75.99	76.35	75.64	75.95	8823577	670713088.00
2020/01/14	76.01	76.28	74.46	74.56	16735537	1256263808.00
2020/01/15	74.57	74.57	73.22	73.50	17518575	1287890176.00
2020/01/16	73.68	73.99	73.27	73.49	7626603	560767616.00
2020/01/17	73.79	73.98	73.02	73.26	11084105	814378304.00
2020/01/20	72.88	73.20	71.25	71.95	25788948	1851491328.00
2020/01/21	71.02	71.10	69.69	70.40	24596558	1724334464.00
2020/01/22	69.72	71.60	69.70	70.96	18829010	1335024640.00
2020/01/23	70.09	70.33	68.49	68.98	21706716	1507332224.00
2020/02/03	62.08	65.48	62.08	63.80	52089920	3296092416.00
2020/02/04	65.00	69.29	64.66	68.20	35959636	2436330496.00
2020/02/05	68.80	71.17	68.39	70.30	23530427	1652088064.00
2020/02/06	71.12	71.70	70.40	71.62	18249595	1303423360.00
2020/02/07	71.15	71.99	70.68	71.71	12011475	858830080.00
2020/02/10	71.00	71.20	69.20	70.72	12864649	905903040.00
2020/02/11	70.91	72.43	70.85	72.22	10087009	726322112.00
2020/02/12	72.00	73.49	71.66	72.38	13136053	956390272.00
2020/02/13	72.70	73.85	71.72	72.40	13672477	995638208.00
2020/02/14	72.08	72.38	71.51	72.00	9171531	659783616.00
2020/02/17	72.13	72.16	70.55	71.57	16749675	1191217280.00
2020/02/18	71.40	72.12	70.65	70.98	12917264	920830016.00
2020/02/19	71.15	72.48	70.59	72.08	11535983	826793792.00
2020/02/20	72.05	74.22	72.00	73.80	16607589	1223427712.00
2020/02/21	73.93	73.97	72.30	72.69	12857516	934705920.00
2020/02/24	71.00	71.18	68.90	69.88	29665796	2070331776.00
2020/02/25	68.17	69.01	67.87	68.60	20522946	1403967360.00
2020/02/26	67.88	68.32	67.00	67.57	17074640	1155465344.00
2020/02/27	68.00	68.88	67.28	67.60	18512247	1257169280.00
2020/02/28	64.32	67.59	64.32	65.71	22404789	1486295424.00
2020/03/02	65.90	69.61	65.90	68.80	19604031	1339408256.00
2020/03/03	69.56	70.54	68.33	68.70	14593860	1011293824.00
