600702 舍得酒业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/01/02	30.01	30.41	29.78	30.40	9650148	291023360.00
2020/01/03	30.40	30.65	30.02	30.11	6394310	193730320.00
2020/01/06	30.06	30.18	29.76	29.90	6358149	190268752.00
2020/01/07	29.88	30.10	29.78	30.07	7804800	233686016.00
2020/01/08	29.91	29.98	29.40	29.44	7894114	233863344.00
2020/01/09	29.62	30.25	29.50	29.95	9419793	281537184.00
2020/01/10	29.99	30.94	29.86	30.65	14509515	442660384.00
2020/01/13	30.59	31.82	30.58	31.59	14695693	461893920.00
2020/01/14	31.60	31.60	31.02	31.28	8802075	275093728.00
2020/01/15	31.25	31.90	31.16	31.38	7634320	240592304.00
2020/01/16	31.33	31.55	31.07	31.33	5190608	162438112.00
2020/01/17	31.28	31.45	30.88	31.00	6178700	192510736.00
2020/01/20	31.04	31.31	30.87	31.19	5441558	169227760.00
2020/01/21	31.15	31.16	30.20	30.22	7239957	221113504.00
2020/01/22	30.01	30.35	29.44	30.27	5752986	172557904.00
2020/01/23	29.84	30.09	28.40	28.68	11027931	321135360.00
2020/02/03	25.81	25.81	25.81	25.81	1726700	44566128.00
2020/02/04	23.41	25.21	23.41	24.53	19660195	476540192.00
2020/02/05	24.51	24.98	24.10	24.61	10538944	259758832.00
2020/02/06	24.50	24.94	24.23	24.80	9786257	240542496.00
2020/02/07	24.68	25.00	24.40	24.98	8179157	202147392.00
2020/02/10	24.85	25.96	24.55	25.72	8921660	225822912.00
2020/02/11	25.60	26.44	25.41	26.00	8673256	225904864.00
2020/02/12	26.05	26.05	25.55	25.97	5986957	154380128.00
2020/02/13	25.86	26.28	25.58	25.61	6936761	179474128.00
2020/02/14	25.60	25.70	25.23	25.39	6909835	175594112.00
2020/02/17	25.47	26.08	25.40	26.05	8524969	220496640.00
2020/02/18	26.18	26.27	25.80	26.13	7638648	198717088.00
2020/02/19	26.09	26.76	25.90	26.38	10454024	276113088.00
2020/02/20	26.23	26.98	26.20	26.89	13001345	348452224.00
2020/02/21	26.79	27.06	26.69	26.82	9581841	257290304.00
2020/02/24	26.67	26.67	25.85	26.30	10788992	282909888.00
2020/02/25	25.74	26.20	25.46	25.82	9284895	239782688.00
2020/02/26	25.62	26.06	25.37	25.57	7942352	203896752.00
2020/02/27	25.56	25.89	25.52	25.56	5543362	142363680.00
2020/02/28	25.03	25.14	23.55	23.76	14166951	344871936.00
2020/03/02	23.86	24.29	23.60	24.27	9700341	233140304.00
2020/03/03	24.45	24.87	24.31	24.50	7664175	188326160.00
2020/03/04	24.44	24.71	24.30	24.71	5784349	141536144.00
2020/03/05	24.83	26.45	24.83	26.26	20385632	527680480.00
2020/03/06	25.83	26.26	25.68	25.90	10544505	272927040.00
2020/03/09	25.50	25.50	24.55	24.79	11546896	288240896.00
2020/03/10	24.45	25.26	24.28	25.25	9339225	231809040.00
2020/03/11	25.19	25.47	24.87	24.88	8290143	208317952.00
2020/03/12	24.60	24.60	24.03	24.11	6911930	167758720.00
2020/03/13	22.95	23.78	22.75	23.55	7978864	185380640.00
2020/03/16	23.75	24.09	23.03	23.15	7800249	183736000.00
2020/03/17	23.47	23.48	22.08	22.55	8045309	183344432.00
2020/03/18	22.74	23.14	22.10	22.15	6775680	153552160.00
2020/03/19	21.98	22.25	21.16	21.69	7617725	164608144.00
2020/03/20	21.90	22.48	21.77	22.21	7269100	160982384.00
2020/03/23	21.74	21.96	21.41	21.54	4285500	93068768.00
2020/03/24	21.85	22.28	21.38	21.93	6618952	144323424.00
2020/03/25	22.40	22.70	22.07	22.68	8992240	201444080.00
2020/03/26	22.48	23.09	22.31	22.60	6710575	152572928.00
2020/03/27	22.77	23.30	22.77	22.86	8654778	199562080.00
2020/03/30	22.60	22.69	22.30	22.56	5454148	122642744.00
2020/03/31	22.77	23.06	22.61	22.80	4715401	107668576.00
2020/04/01	22.74	23.05	22.45	22.59	5234815	119064560.00
2020/04/02	22.50	22.86	22.35	22.86	4140150	93863176.00
2020/04/03	22.86	23.06	22.68	22.78	3684970	84273192.00
2020/04/07	23.15	23.37	23.05	23.24	6168401	143211440.00
2020/04/08	23.11	23.38	23.06	23.24	4034716	93676624.00
2020/04/09	23.35	23.45	23.11	23.26	4207844	97972336.00
2020/04/10	23.29	23.76	23.04	23.08	6447482	150565984.00
2020/04/13	22.85	22.89	22.48	22.62	4669760	105816096.00
2020/04/14	22.72	23.11	22.56	23.02	4946182	113037248.00
2020/04/15	23.05	23.24	22.75	22.77	4604315	105813560.00
2020/04/16	22.68	22.83	22.41	22.68	4590852	103712896.00
2020/04/17	22.87	24.06	22.87	23.30	11228782	263189200.00
2020/04/20	23.25	23.51	23.10	23.51	6924761	161506544.00
2020/04/21	23.35	23.52	23.04	23.24	5017318	116719568.00
2020/04/22	23.11	23.96	23.02	23.80	8138709	192437072.00
2020/04/23	23.86	24.22	23.54	23.60	9609650	229381648.00
2020/04/24	23.79	24.95	23.65	24.66	16470392	404567968.00
2020/04/27	26.00	26.35	25.18	25.29	23671080	606143808.00
2020/04/28	25.42	26.98	25.07	26.40	26214525	683399936.00
2020/04/29	24.80	24.87	23.86	23.95	28293445	687684160.00
2020/04/30	23.80	24.08	23.52	24.02	10245445	244234592.00
2020/05/06	23.90	24.15	23.64	24.14	7275211	173941440.00
2020/05/07	24.10	24.57	23.92	24.50	9235824	224701536.00
2020/05/08	24.50	24.94	24.31	24.61	9265634	228386336.00
2020/05/11	24.69	24.96	24.48	24.79	6552836	162163456.00
2020/05/12	24.71	24.86	24.39	24.66	5230649	129024976.00
2020/05/13	24.65	25.37	24.51	25.12	9340623	234608240.00
2020/05/14	25.46	26.99	25.30	26.19	22668881	595329664.00
2020/05/15	26.30	26.69	25.40	25.61	12214380	315893408.00
2020/05/18	25.62	26.75	25.62	26.69	13449101	354360192.00
2020/05/19	26.67	27.04	26.25	26.82	10467326	279408320.00
2020/05/20	26.80	27.48	26.50	26.93	10863199	293808992.00
2020/05/21	27.00	27.42	26.75	26.87	10549202	285666496.00
2020/05/22	26.68	27.07	26.11	26.24	9733270	257638160.00
2020/05/25	26.42	26.78	25.86	26.48	6418853	169537696.00
2020/05/26	26.53	27.00	26.10	26.84	7625581	203146032.00
2020/05/27	26.86	27.40	26.73	27.05	7496427	202957488.00
2020/05/28	26.98	28.38	26.90	27.83	14985511	416989408.00
2020/05/29	27.68	28.08	27.57	27.78	10363598	288075840.00
2020/06/01	27.83	28.30	27.78	28.18	10270710	288809376.00
2020/06/02	28.15	28.36	27.75	27.91	7285467	204162784.00
2020/06/03	27.92	28.00	27.52	27.60	5545092	153766592.00
2020/06/04	27.75	29.29	27.73	28.96	14836561	426600384.00
2020/06/05	29.03	30.42	28.80	29.94	14820161	440816096.00
2020/06/08	30.10	30.85	29.90	30.10	11026265	333604736.00
2020/06/09	30.24	30.88	29.85	30.30	10779236	327126304.00
2020/06/10	30.13	30.63	29.99	30.34	6839549	207527840.00
2020/06/11	30.38	31.29	30.21	30.69	8841133	272187360.00
2020/06/12	30.35	30.89	30.02	30.58	7552009	230628864.00
2020/06/15	30.48	30.89	29.30	29.56	12632953	377371296.00
2020/06/16	29.80	31.46	29.72	31.04	13849659	427153024.00
2020/06/17	31.28	31.30	30.69	31.11	7850350	243236672.00
2020/06/18	31.23	32.40	30.88	31.06	11626770	366893696.00
2020/06/19	31.00	31.91	30.89	31.50	9255255	292292128.00
2020/06/22	31.45	32.93	31.18	32.68	13308480	429077856.00
2020/06/23	32.78	35.05	32.68	34.81	18785543	639066432.00
2020/06/24	34.82	37.15	34.50	35.41	25168953	903663552.00
2020/06/29	35.30	36.97	35.30	36.96	16831507	611582080.00
2020/06/30	37.16	37.64	36.37	37.35	17050407	632782272.00
2020/07/01	37.38	41.00	37.01	40.93	26001658	1020899072.00
2020/07/02	40.00	41.73	39.01	39.29	29899925	1193457280.00
2020/07/03	38.80	38.80	36.60	36.72	29891865	1115736704.00
2020/07/06	36.70	37.88	36.01	37.37	17963994	668322112.00
2020/07/07	37.16	39.15	37.04	38.06	20367662	780635200.00
2020/07/08	38.07	38.46	37.37	37.96	13775206	519938112.00
2020/07/09	37.68	39.40	37.50	39.27	17122856	659311232.00
2020/07/10	39.30	40.44	38.30	39.11	16242280	637782144.00
2020/07/13	39.10	40.50	38.60	40.48	16613658	661906368.00
2020/07/14	40.48	43.92	40.07	43.85	21304965	900055424.00
2020/07/15	43.86	45.77	42.61	43.60	20942005	924349696.00
2020/07/16	42.90	42.90	39.24	39.24	22086356	884084992.00
2020/07/17	37.50	39.80	36.16	38.06	18103480	690936320.00
2020/07/20	38.10	39.29	36.70	38.47	12214713	464207296.00
2020/07/21	38.00	39.65	37.70	38.68	9334005	362894144.00
2020/07/22	38.03	39.47	37.95	39.08	9093651	353949056.00
2020/07/23	38.78	39.38	37.11	38.07	10593554	404350272.00
2020/07/24	37.98	38.21	34.31	35.28	17617903	637204224.00
2020/07/27	35.39	37.35	35.30	36.38	11765517	428756800.00
2020/07/28	36.00	37.46	35.80	37.44	9279434	341577216.00
2020/07/29	37.37	37.91	36.88	37.50	10950265	409444672.00
2020/07/30	37.50	38.26	37.10	37.33	7467507	280279904.00
2020/07/31	37.11	37.50	36.31	36.98	9713225	358849632.00
2020/08/03	37.30	37.44	36.74	37.06	7138998	264525504.00
2020/08/04	37.10	37.37	36.10	36.42	8689012	317912800.00
2020/08/05	36.45	36.56	35.00	36.43	6837663	246923152.00
2020/08/06	36.71	36.84	35.02	35.50	7580779	270426720.00
