600711 ST盛屯 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/01/02	5.30	5.38	5.26	5.31	69216738	368018688.00
2020/01/03	5.32	5.52	5.26	5.39	86485663	466164288.00
2020/01/06	5.44	5.56	5.36	5.52	105614450	578139392.00
2020/01/07	5.44	5.46	5.32	5.37	64506300	347714240.00
2020/01/08	5.48	5.52	5.28	5.35	65931502	354238144.00
2020/01/09	5.29	5.40	5.29	5.31	50323202	268525728.00
2020/01/10	5.32	5.34	5.17	5.20	42195791	220751776.00
2020/01/13	5.24	5.29	5.20	5.26	25750319	135131088.00
2020/01/14	5.34	5.73	5.33	5.45	110511493	614146560.00
2020/01/15	5.40	5.50	5.27	5.30	56574552	302976224.00
2020/01/16	5.29	5.40	5.24	5.24	37466590	198692208.00
2020/01/17	5.26	5.30	5.17	5.20	30805564	161184080.00
2020/01/20	5.18	5.28	5.11	5.25	30524657	158761168.00
2020/01/21	5.22	5.23	5.08	5.09	30530124	157091184.00
2020/01/22	5.11	5.23	5.03	5.18	34794460	179371232.00
2020/01/23	5.14	5.21	4.88	4.93	42731808	215231216.00
2020/02/03	4.44	4.53	4.44	4.44	38622465	171721472.00
2020/02/04	4.27	4.54	4.27	4.43	47503587	211665152.00
2020/02/05	4.53	4.65	4.47	4.52	54375367	247389824.00
2020/02/06	4.45	4.57	4.43	4.56	45371528	204339440.00
2020/02/07	4.51	4.55	4.46	4.52	32326877	145455776.00
2020/02/10	4.50	4.70	4.45	4.67	48342051	222518016.00
2020/02/11	4.66	4.76	4.62	4.68	48129693	225917584.00
2020/02/12	4.68	5.14	4.65	5.07	106150689	526876800.00
2020/02/13	5.06	5.27	4.98	5.05	106477560	544083584.00
2020/02/14	5.10	5.35	5.08	5.19	107134911	557854656.00
2020/02/17	5.15	5.25	5.10	5.23	73546984	381130816.00
2020/02/18	5.23	5.32	5.18	5.25	61913478	324348576.00
2020/02/19	4.96	5.04	4.80	4.90	127434313	629379008.00
2020/02/20	4.96	5.01	4.86	4.98	53980089	266383216.00
2020/02/21	4.97	5.04	4.94	5.02	55039231	275522624.00
2020/02/24	5.07	5.09	4.91	4.99	50297445	250525328.00
2020/02/25	4.90	4.99	4.85	4.96	54093812	266239488.00
2020/02/26	4.90	4.97	4.84	4.86	44320425	217720768.00
2020/02/27	5.16	5.21	4.98	5.00	90383728	457821984.00
2020/02/28	4.90	4.92	4.72	4.79	73633946	355588704.00
2020/03/02	4.63	4.78	4.58	4.76	72220804	338842304.00
2020/03/03	4.79	4.85	4.67	4.72	50417081	240799504.00
2020/03/04	4.72	4.81	4.69	4.79	31997731	152212336.00
2020/03/05	4.81	4.93	4.78	4.89	52436156	254090368.00
2020/03/06	4.83	4.90	4.82	4.84	34763306	168713776.00
2020/03/09	4.85	4.93	4.64	4.66	43505509	206458448.00
2020/03/10	4.57	4.71	4.52	4.71	35377810	163141120.00
2020/03/11	4.70	4.73	4.63	4.63	25335906	118564400.00
2020/03/12	4.57	4.59	4.48	4.50	27373617	123875312.00
2020/03/13	4.30	4.49	4.20	4.46	30251118	131642880.00
2020/03/16	4.53	4.55	4.31	4.34	22461400	99870480.00
2020/03/17	4.34	4.42	4.09	4.26	24073169	102242000.00
2020/03/18	4.30	4.34	4.17	4.18	22572706	96091592.00
2020/03/19	4.16	4.18	3.98	4.07	34424334	140054160.00
2020/03/20	4.09	4.19	4.07	4.18	18525760	76204688.00
2020/03/23	4.09	4.10	4.01	4.01	15628479	63338524.00
2020/03/24	4.15	4.18	4.07	4.16	24890913	102704664.00
2020/03/25	4.25	4.28	4.20	4.23	25076700	106306272.00
2020/03/26	4.22	4.22	4.13	4.14	17433654	72778688.00
2020/03/27	4.19	4.21	4.15	4.17	13117077	54816280.00
2020/03/30	4.12	4.12	4.04	4.07	14619687	59491312.00
2020/03/31	4.10	4.15	4.04	4.11	23617265	96782232.00
2020/04/01	4.11	4.22	4.09	4.17	19488044	81071496.00
2020/04/02	4.12	4.21	4.09	4.20	17018631	70530176.00
2020/04/03	4.18	4.19	4.15	4.15	12555010	52274748.00
2020/04/07	4.22	4.25	4.18	4.24	21386577	90441088.00
2020/04/08	4.21	4.35	4.17	4.27	29133514	124129104.00
2020/04/09	4.31	4.31	4.23	4.25	17047428	72559456.00
2020/04/10	4.25	4.27	4.15	4.15	15535648	65265584.00
2020/04/13	4.12	4.14	4.10	4.11	8778206	36157516.00
2020/04/14	4.13	4.24	4.13	4.22	14694549	61692168.00
2020/04/15	4.20	4.21	4.15	4.15	12176269	50895544.00
2020/04/16	4.14	4.16	4.12	4.15	9121650	37761176.00
2020/04/17	4.16	4.19	4.13	4.14	13306788	55311308.00
2020/04/20	4.13	4.14	4.12	4.13	9012550	37211376.00
2020/04/21	4.12	4.12	4.03	4.06	15603370	63331500.00
2020/04/22	4.02	4.09	3.99	4.07	10079017	40772032.00
2020/04/23	4.08	4.09	4.02	4.03	10039000	40688144.00
2020/04/24	4.02	4.05	3.99	3.99	10822612	43437832.00
2020/04/27	4.02	4.06	4.00	4.03	9912855	39903924.00
2020/04/28	4.04	4.05	3.81	3.89	16150160	63186172.00
2020/04/29	3.88	3.92	3.85	3.87	7795042	30339656.00
2020/04/30	3.87	3.93	3.86	3.92	20654446	80650240.00
2020/05/06	3.87	4.03	3.87	4.02	19353725	76954744.00
2020/05/07	4.01	4.03	3.96	3.97	12494258	49889528.00
2020/05/08	3.99	4.04	3.97	4.01	10823362	43324692.00
2020/05/11	3.99	4.06	3.94	4.06	20181961	80906400.00
2020/05/12	4.01	4.01	3.95	3.98	11658209	46402668.00
2020/05/13	3.95	3.98	3.95	3.97	5338377	21183692.00
2020/05/14	3.96	3.97	3.93	3.94	7278214	28740280.00
2020/05/15	3.95	3.96	3.93	3.93	6941337	27368716.00
2020/05/18	3.94	4.04	3.92	4.01	20951927	83971760.00
2020/05/19	4.01	4.02	3.92	3.93	18462650	73035832.00
2020/05/20	3.92	3.96	3.86	3.88	14411100	56372944.00
2020/05/21	3.89	3.90	3.78	3.79	15894900	60992048.00
2020/05/22	3.77	3.77	3.61	3.64	23857831	87429232.00
2020/05/25	3.64	3.64	3.56	3.57	14049202	50360760.00
