600882 妙可蓝多 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/01/02	14.60	14.90	14.41	14.58	4084700	59988496.00
2020/01/03	14.75	15.00	14.60	14.90	5490120	81308672.00
2020/01/06	14.91	14.98	13.83	14.76	7227213	105111104.00
2020/01/07	15.99	16.24	15.78	16.24	5571136	89523552.00
2020/01/08	17.00	17.70	15.99	16.30	18576605	313952544.00
2020/01/09	16.68	17.90	16.32	17.25	12227583	210189792.00
2020/01/10	17.50	18.00	16.82	17.58	7488170	131250376.00
2020/01/13	17.87	17.99	17.08	17.61	5975271	104796736.00
2020/01/14	17.30	17.96	17.30	17.92	5332557	94581768.00
2020/01/15	17.74	18.17	17.55	18.05	5018595	89690080.00
2020/01/16	17.65	19.85	17.65	19.45	8000861	151782688.00
2020/01/17	19.20	20.39	18.48	19.20	10244297	195775568.00
2020/01/20	18.90	19.48	18.66	19.20	6557745	125337400.00
2020/01/21	19.15	19.48	18.74	18.91	3358016	63761348.00
2020/01/22	18.75	19.25	18.18	18.90	3556373	67110752.00
2020/01/23	18.93	19.28	17.88	18.40	5544813	102312440.00
2020/02/03	16.56	17.10	16.56	16.56	4850017	80712616.00
2020/02/04	16.25	17.99	16.25	17.83	4779031	82980552.00
2020/02/05	18.15	18.70	17.35	17.62	5193854	92924856.00
2020/02/06	17.60	17.99	17.06	17.78	4524597	79038016.00
2020/02/07	17.65	17.78	17.06	17.26	3647774	63002048.00
2020/02/10	17.08	17.49	16.95	17.11	2595531	44413800.00
2020/02/11	17.16	17.58	16.94	17.51	4020210	69452000.00
2020/02/12	17.45	18.54	17.34	17.88	4610898	82173480.00
2020/02/13	17.98	17.99	17.00	17.21	3775904	65174304.00
2020/02/14	17.03	17.38	16.84	17.16	2603513	44392260.00
2020/02/17	17.18	17.28	16.70	17.12	3230744	54749596.00
2020/02/18	16.99	17.88	16.98	17.83	4980136	86684072.00
2020/02/19	17.70	18.97	17.60	18.76	5874599	108758080.00
2020/02/20	18.70	18.94	18.38	18.80	3661199	68332000.00
2020/02/21	18.85	19.26	18.52	18.73	3481769	65524320.00
2020/02/24	18.72	18.73	17.73	17.76	5984240	107426176.00
2020/02/25	17.40	17.88	17.15	17.70	2636847	46112152.00
2020/02/26	17.48	17.66	16.92	17.08	4454333	76349944.00
2020/02/27	17.17	17.40	16.92	17.03	4101248	70221352.00
2020/02/28	16.84	16.84	16.09	16.35	5201036	85279944.00
2020/03/02	16.50	17.00	16.43	16.76	3321171	55444196.00
2020/03/03	17.11	17.45	16.69	16.88	2694051	46081180.00
2020/03/04	17.02	17.45	16.64	17.30	3878694	66835396.00
2020/03/05	17.40	19.03	17.33	19.02	12488101	234237328.00
2020/03/06	18.80	19.62	18.65	19.10	9826960	188647808.00
2020/03/09	18.74	19.63	18.70	19.00	6783390	130023232.00
2020/03/10	18.56	20.90	18.28	20.16	13103607	262036208.00
2020/03/11	20.01	20.67	19.51	19.70	6744269	134695328.00
2020/03/12	19.10	19.80	19.05	19.48	2713000	52699972.00
2020/03/13	18.86	19.49	18.23	19.16	7043445	133738496.00
2020/03/16	19.20	20.16	18.81	19.27	6948713	136087632.00
2020/03/17	19.40	19.80	18.10	19.28	4896929	91562064.00
2020/03/18	19.48	20.41	18.66	18.87	4475235	87951024.00
2020/03/19	19.10	19.20	18.40	19.02	3964533	74824248.00
2020/03/20	19.22	19.79	19.00	19.49	3057900	58990116.00
2020/03/23	19.50	20.10	18.83	19.26	6124801	119390096.00
2020/03/24	19.59	21.11	19.33	21.11	9774475	198742832.00
2020/03/25	21.91	22.69	21.31	22.37	14833874	326644448.00
2020/03/26	21.50	23.48	21.18	22.52	10987707	246833360.00
2020/03/27	22.57	23.00	21.80	22.60	7310295	164855552.00
2020/03/30	22.52	23.10	22.01	22.30	6245171	140424288.00
2020/03/31	22.11	22.98	21.58	22.92	6330517	140981280.00
2020/04/01	22.90	23.40	22.15	22.50	6432702	145703936.00
2020/04/02	22.20	22.99	22.18	22.52	3925927	88251120.00
2020/04/03	22.41	22.64	21.51	21.78	5926052	130166464.00
2020/04/07	21.82	22.44	21.30	22.42	10470013	229743440.00
