600895 张江高科 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/01/02	15.46	15.61	15.32	15.35	16829796	259768816.00
2020/01/03	15.35	15.38	15.15	15.19	11826711	180231600.00
2020/01/06	15.11	15.42	14.93	15.29	14933979	227333440.00
2020/01/07	15.33	15.66	15.30	15.49	19392333	300134272.00
2020/01/08	15.30	15.39	15.05	15.08	13627818	207231792.00
2020/01/09	15.18	15.40	15.18	15.32	9369096	143522544.00
2020/01/10	15.32	15.38	15.15	15.18	7956474	121168320.00
2020/01/13	15.25	15.38	15.09	15.33	9191802	139974096.00
2020/01/14	15.37	15.65	15.32	15.53	19882174	309162208.00
2020/01/15	15.53	16.15	15.53	15.77	28566571	453853664.00
2020/01/16	15.85	15.89	15.46	15.49	15455662	240954288.00
2020/01/17	15.61	15.68	15.29	15.33	9201800	141994560.00
2020/01/20	15.35	15.56	15.19	15.51	9734315	149683104.00
2020/01/21	15.44	15.61	15.28	15.35	8858877	136551264.00
2020/01/22	15.27	15.27	14.85	15.09	12851956	193382896.00
2020/01/23	15.01	15.03	14.40	14.50	15643306	229638544.00
2020/02/03	13.05	13.05	13.05	13.05	3833000	50020648.00
2020/02/04	11.75	12.73	11.75	12.36	23177966	286848864.00
2020/02/05	12.40	13.06	12.40	12.82	18685470	239746304.00
2020/02/06	12.95	12.96	12.62	12.83	16563758	212286448.00
2020/02/07	12.83	13.02	12.68	13.01	13186302	168981072.00
2020/02/10	12.95	13.40	12.84	13.33	14123406	186323296.00
2020/02/11	13.32	13.49	13.22	13.32	10525535	140811856.00
2020/02/12	13.39	13.45	13.22	13.43	10779019	144164752.00
2020/02/13	13.48	13.78	13.43	13.53	13404030	182152256.00
2020/02/14	13.51	13.69	13.41	13.52	9705906	131443960.00
2020/02/17	13.80	14.28	13.69	14.14	17739678	248835008.00
2020/02/18	14.13	14.23	13.99	14.04	14491486	203976320.00
2020/02/19	14.12	14.33	14.01	14.10	13931801	196758864.00
2020/02/20	14.13	14.24	13.87	14.20	17229447	242582208.00
2020/02/21	14.17	14.53	14.13	14.40	18773058	269675936.00
2020/02/24	14.33	14.44	14.12	14.27	16170179	230515824.00
2020/02/25	13.97	14.19	13.53	13.90	23383994	324273184.00
2020/02/26	13.82	14.14	13.66	13.83	17977322	250827600.00
2020/02/27	13.90	13.98	13.71	13.75	10668983	147541312.00
2020/02/28	13.51	13.65	12.89	12.89	20745941	274082944.00
2020/03/02	13.10	13.89	13.10	13.74	21883647	299569696.00
2020/03/03	13.89	14.07	13.60	13.74	17347000	240004816.00
2020/03/04	13.68	13.95	13.66	13.88	13192453	182012912.00
2020/03/05	13.97	14.23	13.88	14.09	21897555	307936320.00
2020/03/06	14.00	14.07	13.83	13.88	12331168	171736176.00
2020/03/09	14.21	14.89	14.19	14.44	55872686	809948672.00
2020/03/10	14.07	14.23	13.19	14.06	38172323	526190272.00
2020/03/11	14.10	14.13	13.63	13.64	22646086	313664512.00
2020/03/12	13.41	13.54	13.18	13.23	17453320	232062144.00
2020/03/13	12.61	13.09	12.44	12.86	17651714	225047392.00
2020/03/16	13.21	13.33	12.56	12.60	15571339	201815904.00
2020/03/17	12.54	12.97	12.17	12.49	11861738	148030496.00
2020/03/18	12.70	12.72	12.22	12.24	9422371	117704488.00
2020/03/19	12.24	12.42	12.01	12.39	9739478	118959336.00
2020/03/20	12.50	12.72	12.32	12.70	11203521	140055184.00
2020/03/23	12.39	12.39	12.07	12.09	10876569	132646272.00
2020/03/24	12.30	12.35	12.06	12.32	6696426	81827096.00
2020/03/25	12.48	12.96	12.30	12.79	15160821	190594800.00
2020/03/26	12.60	12.61	12.39	12.42	8197883	102372784.00
2020/03/27	12.55	12.61	12.35	12.37	5940779	74260592.00
2020/03/30	12.18	12.33	12.01	12.14	6826956	82637424.00
2020/03/31	12.26	12.36	12.11	12.13	4190038	51146352.00
2020/04/01	12.14	12.26	12.04	12.04	4679241	56813628.00
2020/04/02	12.00	12.36	11.95	12.34	8301750	101230984.00
2020/04/03	12.35	12.67	12.19	12.59	11942858	148204544.00
2020/04/07	12.61	12.93	12.49	12.75	13592559	172633536.00
2020/04/08	12.58	12.69	12.53	12.60	6878377	86643696.00
2020/04/09	12.65	12.72	12.57	12.59	6786702	85738856.00
2020/04/10	12.61	12.68	12.37	12.40	6442346	80490208.00
2020/04/13	12.41	12.45	12.20	12.24	4439969	54491592.00
2020/04/14	12.24	12.40	12.24	12.40	4525609	55853384.00
2020/04/15	12.41	12.65	12.37	12.45	6641425	83171632.00
2020/04/16	12.52	12.78	12.45	12.62	8921874	112949704.00
2020/04/17	12.69	12.72	12.50	12.51	7013383	88242208.00
2020/04/20	12.59	12.93	12.50	12.88	16937551	215314496.00
2020/04/21	12.72	12.86	12.40	12.66	11902711	150001936.00
2020/04/22	12.60	12.61	12.45	12.60	7202596	90272800.00
2020/04/23	12.60	12.65	12.48	12.48	6667421	83657216.00
2020/04/24	12.49	12.50	12.18	12.19	7923072	97537488.00
