601398 工商银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/01/02	5.92	6.03	5.91	5.97	234949397	1404442752.00
2020/01/03	5.97	6.02	5.96	5.99	152213047	911951552.00
2020/01/06	5.96	6.05	5.95	5.97	226509705	1359917440.00
2020/01/07	5.98	6.04	5.98	6.01	116804353	701615808.00
2020/01/08	5.96	5.97	5.90	5.91	158559090	940552704.00
2020/01/09	5.95	5.96	5.88	5.91	137713429	813806656.00
2020/01/10	5.91	5.93	5.86	5.91	97837773	576580160.00
2020/01/13	5.90	5.93	5.87	5.93	108991003	642791808.00
2020/01/14	5.92	5.96	5.91	5.94	136770059	812389824.00
2020/01/15	5.93	5.94	5.87	5.88	128890756	759512896.00
2020/01/16	5.87	5.89	5.79	5.80	269031351	1572007936.00
2020/01/17	5.81	5.84	5.80	5.82	103949027	605076672.00
2020/01/20	5.81	5.86	5.80	5.84	103339962	602786624.00
2020/01/21	5.82	5.83	5.76	5.77	143223669	828268480.00
2020/01/22	5.76	5.79	5.71	5.79	128370788	738870080.00
2020/01/23	5.76	5.78	5.70	5.72	200037655	1146238592.00
2020/02/03	5.30	5.58	5.30	5.42	468039902	2524272128.00
2020/02/04	5.39	5.53	5.36	5.50	401385261	2178867200.00
2020/02/05	5.49	5.52	5.42	5.49	250853805	1374458752.00
2020/02/06	5.50	5.53	5.44	5.50	280995429	1538957696.00
2020/02/07	5.47	5.47	5.40	5.44	237318996	1288428160.00
2020/02/10	5.41	5.43	5.38	5.42	190238633	1027646592.00
2020/02/11	5.43	5.47	5.41	5.46	198498450	1081002752.00
2020/02/12	5.46	5.47	5.42	5.46	203914433	1109148672.00
2020/02/13	5.45	5.45	5.40	5.41	199565762	1082005632.00
2020/02/14	5.40	5.44	5.39	5.43	141576448	767126656.00
2020/02/17	5.42	5.49	5.41	5.49	214194906	1169117312.00
2020/02/18	5.47	5.48	5.44	5.46	184542440	1007061184.00
2020/02/19	5.45	5.50	5.45	5.48	204052382	1115986816.00
2020/02/20	5.48	5.52	5.44	5.51	283668091	1552477568.00
2020/02/21	5.49	5.52	5.47	5.49	223710293	1228187008.00
2020/02/24	5.48	5.49	5.43	5.44	193329190	1053685888.00
2020/02/25	5.40	5.42	5.39	5.41	230133275	1243466240.00
2020/02/26	5.38	5.44	5.36	5.41	257968813	1393315584.00
2020/02/27	5.40	5.42	5.39	5.40	222555623	1202215424.00
2020/02/28	5.37	5.38	5.28	5.30	422937146	2256218880.00
2020/03/02	5.30	5.36	5.29	5.36	239902317	1279829504.00
2020/03/03	5.37	5.40	5.35	5.38	255403193	1374004480.00
2020/03/04	5.37	5.39	5.36	5.39	134281589	721906816.00
2020/03/05	5.40	5.46	5.38	5.46	330539755	1794965760.00
2020/03/06	5.42	5.43	5.39	5.41	195949873	1059304448.00
2020/03/09	5.34	5.35	5.30	5.31	288062025	1532677376.00
2020/03/10	5.29	5.37	5.29	5.36	250820767	1336201344.00
2020/03/11	5.35	5.37	5.32	5.32	169406955	904475648.00
2020/03/12	5.30	5.32	5.27	5.29	246296488	1303003648.00
2020/03/13	5.16	5.27	5.13	5.22	299724107	1553653632.00
2020/03/16	5.22	5.29	5.14	5.17	304466305	1586443648.00
2020/03/17	5.16	5.23	5.12	5.17	257712932	1329255552.00
2020/03/18	5.18	5.20	5.11	5.11	202506811	1045181440.00
2020/03/19	5.11	5.12	4.93	4.99	289884968	1452206720.00
2020/03/20	5.02	5.11	5.00	5.08	212513611	1073508032.00
2020/03/23	5.00	5.03	4.98	4.99	139989311	699169088.00
2020/03/24	5.02	5.12	5.02	5.12	230331606	1166514176.00
2020/03/25	5.17	5.18	5.10	5.18	232178619	1195478400.00
2020/03/26	5.13	5.22	5.11	5.18	155612848	805142976.00
2020/03/27	5.21	5.25	5.18	5.21	172736492	901046976.00
2020/03/30	5.18	5.24	5.15	5.22	195388477	1016609280.00
2020/03/31	5.22	5.24	5.12	5.15	176103197	912323392.00
2020/04/01	5.15	5.19	5.13	5.16	101858447	525623744.00
2020/04/02	5.14	5.19	5.11	5.19	122885637	632366528.00
2020/04/03	5.16	5.18	5.12	5.14	109604624	564119680.00
2020/04/07	5.18	5.19	5.13	5.16	170301628	878022912.00
2020/04/08	5.14	5.15	5.12	5.14	103474315	531023680.00
2020/04/09	5.14	5.15	5.12	5.13	73582092	377790176.00
2020/04/10	5.13	5.14	5.10	5.11	97806890	500477728.00
2020/04/13	5.10	5.13	5.09	5.10	85508709	436405792.00
2020/04/14	5.11	5.13	5.10	5.12	88321771	451932576.00
2020/04/15	5.11	5.13	5.10	5.13	94603541	484407200.00
2020/04/16	5.11	5.13	5.10	5.12	70063172	358394240.00
2020/04/17	5.13	5.17	5.11	5.15	138244872	710819584.00
2020/04/20	5.14	5.15	5.12	5.12	103808722	532094016.00
2020/04/21	5.11	5.12	5.07	5.08	117604888	598287936.00
2020/04/22	5.07	5.10	5.05	5.09	87658356	445105984.00
2020/04/23	5.09	5.09	5.05	5.07	103342243	523778048.00
2020/04/24	5.06	5.07	5.04	5.05	68795221	347600192.00
2020/04/27	5.05	5.11	5.05	5.09	117299682	596976640.00
2020/04/28	5.09	5.12	5.04	5.11	150513612	766309888.00
2020/04/29	5.10	5.15	5.08	5.15	121079635	621183040.00
2020/04/30	5.15	5.18	5.14	5.17	104063910	537925248.00
2020/05/06	5.12	5.12	5.08	5.11	162061217	826750784.00
2020/05/07	5.10	5.11	5.09	5.10	78898187	402339520.00
2020/05/08	5.10	5.12	5.09	5.10	114827797	586300544.00
2020/05/11	5.11	5.14	5.10	5.14	113051885	579421696.00
2020/05/12	5.13	5.15	5.11	5.13	101632081	521289504.00
2020/05/13	5.12	5.13	5.11	5.13	55628021	284796160.00
2020/05/14	5.12	5.13	5.09	5.10	81152500	414442720.00
2020/05/15	5.10	5.12	5.08	5.09	95906130	488458016.00
2020/05/18	5.09	5.10	5.07	5.10	93617881	476194368.00
2020/05/19	5.12	5.13	5.10	5.12	136180096	696256256.00
2020/05/20	5.11	5.12	5.10	5.12	86764868	443325184.00
2020/05/21	5.12	5.13	5.10	5.10	81003105	414491648.00
2020/05/22	5.10	5.11	5.05	5.05	143377084	727859712.00
2020/05/25	5.06	5.10	5.04	5.09	105506493	535413184.00
2020/05/26	5.10	5.11	5.08	5.08	92522125	471204928.00
2020/05/27	5.08	5.13	5.08	5.12	119594005	611686016.00
2020/05/28	5.12	5.18	5.12	5.17	145728739	751332032.00
2020/05/29	5.14	5.15	5.10	5.12	125761411	644333248.00
2020/06/01	5.13	5.16	5.12	5.16	105007887	540140864.00
2020/06/02	5.15	5.19	5.13	5.19	152829199	788749056.00
2020/06/03	5.20	5.24	5.18	5.19	134546779	700101312.00
2020/06/04	5.20	5.21	5.17	5.18	76394115	396059488.00
2020/06/05	5.19	5.22	5.16	5.21	109865757	569906496.00
2020/06/08	5.22	5.26	5.20	5.24	170929414	894672960.00
2020/06/09	5.24	5.28	5.23	5.26	118676521	624176000.00
2020/06/10	5.27	5.28	5.25	5.27	130116167	685774208.00
2020/06/11	5.27	5.30	5.24	5.27	201954547	1065079808.00
2020/06/12	5.23	5.32	5.20	5.22	379726025	2002673536.00
2020/06/15	5.24	5.31	5.23	5.24	216077601	1137899776.00
2020/06/16	5.27	5.31	5.26	5.30	123037983	650848000.00
2020/06/17	5.28	5.30	5.25	5.26	87984468	463475840.00
2020/06/18	5.20	5.22	5.16	5.19	210965506	1095065088.00
2020/06/19	5.18	5.21	5.15	5.20	198605088	1029454848.00
2020/06/22	5.20	5.22	5.16	5.16	156983957	814365120.00
2020/06/23	5.16	5.16	5.12	5.14	179893542	924358336.00
2020/06/24	5.15	5.24	5.14	5.22	194172776	1008333056.00
2020/06/29	5.28	5.31	5.20	5.25	300096304	1574885376.00
2020/06/30	5.00	5.03	4.96	4.98	213559908	1064429248.00
2020/07/01	4.98	4.99	4.92	4.99	195342430	968080256.00
2020/07/02	4.98	5.07	4.96	5.06	333639508	1672846080.00
2020/07/03	5.06	5.18	5.06	5.16	349460778	1791281792.00
2020/07/06	5.20	5.61	5.19	5.60	746359638	4044172288.00
2020/07/07	5.67	5.85	5.56	5.56	622456480	3518396160.00
2020/07/08	5.52	5.59	5.38	5.47	613051056	3357353216.00
2020/07/09	5.43	5.45	5.35	5.38	569342048	3064468992.00
2020/07/10	5.36	5.37	5.20	5.22	626079327	3302585344.00
2020/07/13	5.20	5.25	5.16	5.21	608928410	3167529472.00
2020/07/14	5.19	5.20	5.13	5.14	463922050	2397441280.00
2020/07/15	5.16	5.18	5.07	5.08	461149414	2355023872.00
2020/07/16	5.08	5.13	5.05	5.06	492285809	2505984512.00
2020/07/17	5.06	5.08	5.03	5.06	297529798	1504161280.00
2020/07/20	5.07	5.14	5.05	5.13	386592363	1974500480.00
2020/07/21	5.13	5.14	5.09	5.10	226253759	1154453504.00
2020/07/22	5.10	5.14	5.07	5.09	292661107	1493366784.00
2020/07/23	5.07	5.08	5.02	5.03	375136563	1890158464.00
2020/07/24	5.03	5.03	4.96	4.98	363761006	1817042816.00
2020/07/27	4.98	5.00	4.95	4.97	217634490	1082016256.00
2020/07/28	4.99	5.00	4.96	4.98	174844591	870345472.00
2020/07/29	4.97	5.02	4.93	5.02	275856664	1375574144.00
2020/07/30	5.02	5.02	4.98	4.98	153782861	768439808.00
2020/07/31	4.98	5.01	4.95	4.96	254967287	1268345216.00
2020/08/03	4.98	5.00	4.96	4.98	244686781	1217707520.00
2020/08/04	4.99	5.07	4.97	5.05	401220469	2015491456.00
2020/08/05	5.02	5.03	4.99	5.00	205232006	1027991616.00
2020/08/06	5.01	5.03	4.98	5.02	209927052	1049299520.00
2020/08/07	5.01	5.01	4.97	4.98	192143281	957716736.00
2020/08/10	4.97	5.00	4.96	4.99	200986917	1001722880.00
2020/08/11	4.98	5.02	4.97	4.98	276724552	1383596416.00
2020/08/12	4.97	4.99	4.96	4.99	225612404	1121910784.00
2020/08/13	4.98	5.00	4.97	4.98	116382932	580121536.00
2020/08/14	4.98	5.02	4.97	5.02	208584453	1042149504.00
2020/08/17	5.02	5.11	5.02	5.09	548693326	2783708672.00
2020/08/18	5.09	5.09	5.04	5.05	237195504	1199875584.00
2020/08/19	5.06	5.07	5.03	5.03	163005140	821836864.00
2020/08/20	5.02	5.03	4.99	5.00	164245323	821731200.00
2020/08/21	5.01	5.02	4.99	5.01	130184483	651086272.00
2020/08/24	5.01	5.02	4.99	4.99	120078607	600551232.00
2020/08/25	5.00	5.01	4.98	5.00	154898745	773465216.00
2020/08/26	5.00	5.00	4.97	4.98	151462246	754742720.00
2020/08/27	4.98	4.98	4.96	4.97	141665658	703831744.00
2020/08/28	4.97	5.01	4.96	5.00	210367849	1048187712.00
2020/08/31	4.99	5.01	4.96	4.96	263148438	1312043136.00
2020/09/01	4.96	4.97	4.94	4.96	156648375	776360128.00
2020/09/02	4.96	4.96	4.92	4.92	272900852	1345657216.00
2020/09/03	4.92	4.94	4.89	4.91	183967179	903223936.00
2020/09/04	4.89	4.91	4.88	4.90	140939398	689451456.00
2020/09/07	4.89	4.92	4.88	4.90	152562738	748340480.00
2020/09/08	4.90	4.96	4.89	4.95	199548082	984987776.00
2020/09/09	4.93	4.95	4.92	4.94	161334069	796614912.00
