601727 上海电气 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/01/02	5.00	5.04	5.00	5.03	23633460	118736632.00
2020/01/03	5.05	5.05	4.98	5.02	19035510	95391312.00
2020/01/06	5.00	5.12	4.98	5.06	28880635	146132224.00
2020/01/07	5.24	5.27	5.12	5.15	42480766	220252368.00
2020/01/08	5.10	5.18	5.06	5.09	30428544	155737376.00
2020/01/09	5.13	5.16	5.08	5.12	17142153	87674544.00
2020/01/10	5.13	5.14	5.06	5.08	14379368	73105440.00
2020/01/13	5.08	5.11	5.04	5.11	13043794	66043588.00
2020/01/14	5.11	5.12	5.07	5.09	13637830	69506760.00
2020/01/15	5.10	5.11	5.02	5.04	13665846	68986776.00
2020/01/16	5.05	5.06	5.01	5.02	8479061	42640876.00
2020/01/17	5.03	5.05	4.99	5.01	9358130	46884828.00
2020/01/20	5.01	5.05	4.99	5.04	11660941	58553488.00
2020/01/21	5.03	5.04	4.98	4.99	11324589	56647536.00
2020/01/22	4.96	4.99	4.90	4.96	13894820	68780160.00
2020/01/23	4.93	4.98	4.81	4.85	19265658	94184632.00
2020/02/03	4.37	4.37	4.37	4.37	18407700	80441648.00
2020/02/04	4.22	4.43	4.22	4.34	33981134	148118112.00
2020/02/05	4.34	4.51	4.33	4.41	24070911	106378288.00
2020/02/06	4.44	4.49	4.39	4.48	23071714	102812080.00
2020/02/07	4.54	4.67	4.44	4.64	25884269	116807808.00
2020/02/10	4.60	4.78	4.57	4.70	22454799	105264032.00
2020/02/11	4.71	4.74	4.66	4.67	14527504	68078936.00
2020/02/12	4.65	4.69	4.64	4.68	11599549	54085028.00
2020/02/13	4.68	4.71	4.61	4.61	15802148	73354000.00
2020/02/14	4.60	4.64	4.57	4.61	13065322	60147208.00
2020/02/17	4.63	4.72	4.63	4.71	23320222	109341256.00
2020/02/18	4.78	4.80	4.72	4.76	27883467	132647064.00
2020/02/19	4.75	4.76	4.71	4.71	17428542	82463720.00
2020/02/20	4.73	4.85	4.72	4.84	32089231	154245472.00
2020/02/21	4.82	4.86	4.80	4.82	24865085	119890416.00
2020/02/24	4.82	4.83	4.76	4.78	23620410	112963720.00
2020/02/25	4.70	4.72	4.56	4.68	33460492	155727424.00
2020/02/26	4.65	4.78	4.60	4.70	34588097	162697760.00
2020/02/27	4.71	4.75	4.68	4.69	18876627	88998312.00
2020/02/28	4.60	4.63	4.48	4.49	31230981	142193712.00
2020/03/02	4.53	4.70	4.51	4.66	23226819	107607896.00
2020/03/03	4.73	4.79	4.68	4.72	24384900	115408416.00
2020/03/04	4.71	4.74	4.65	4.73	17529979	82302584.00
2020/03/05	4.80	4.94	4.76	4.87	51724270	251845920.00
2020/03/06	4.84	5.09	4.80	5.02	70837565	351720128.00
2020/03/09	5.00	5.06	4.87	4.88	53288217	263891600.00
2020/03/10	4.83	5.27	4.83	5.14	82531278	416696992.00
2020/03/11	5.16	5.19	5.00	5.02	50710154	258021344.00
2020/03/12	4.97	4.98	4.87	4.93	33937572	167342704.00
2020/03/13	4.74	5.11	4.66	5.07	67973099	337726048.00
2020/03/16	5.11	5.13	4.81	4.84	59670014	297176800.00
2020/03/17	4.90	5.08	4.71	4.97	59506352	292052512.00
2020/03/18	5.00	5.03	4.83	4.83	48697521	240667600.00
2020/03/19	4.81	4.90	4.73	4.80	38453651	184774304.00
2020/03/20	4.86	4.88	4.76	4.81	24062108	116068544.00
2020/03/23	4.72	4.76	4.60	4.61	27410598	128442976.00
2020/03/24	4.69	4.72	4.57	4.66	20323315	94449248.00
2020/03/25	4.74	4.76	4.68	4.71	21463604	101179024.00
2020/03/26	4.70	4.70	4.60	4.60	19745415	91486264.00
2020/03/27	4.65	4.69	4.61	4.63	14667693	68096888.00
2020/03/30	4.59	4.68	4.53	4.65	16174205	74531032.00
2020/03/31	4.68	4.69	4.60	4.60	9646052	44742660.00
2020/04/01	4.64	4.73	4.61	4.64	14035253	65428096.00
2020/04/02	4.64	4.69	4.62	4.69	12715927	59222572.00
2020/04/03	4.67	4.68	4.59	4.63	10214159	47327088.00
2020/04/07	4.68	4.74	4.68	4.72	21494864	101139240.00
2020/04/08	4.71	4.71	4.68	4.69	9364423	43923660.00
2020/04/09	4.71	4.72	4.69	4.69	9916678	46639972.00
2020/04/10	4.69	4.70	4.60	4.61	11915865	55260508.00
2020/04/13	4.59	4.63	4.58	4.62	8426224	38830708.00
2020/04/14	4.64	4.66	4.62	4.64	9323193	43263480.00
2020/04/15	4.65	4.65	4.60	4.60	8531285	39469148.00
2020/04/16	4.61	4.88	4.61	4.83	54681439	261865104.00
2020/04/17	4.88	4.88	4.75	4.76	27924556	134171720.00
2020/04/20	4.81	4.96	4.77	4.91	41397291	202700448.00
2020/04/21	4.91	4.96	4.86	4.92	28351509	139130640.00
2020/04/22	4.89	4.98	4.87	4.90	24927711	122657496.00
2020/04/23	4.90	4.96	4.85	4.92	26057720	128021552.00
2020/04/24	4.92	4.96	4.84	4.88	19137958	93550080.00
2020/04/27	4.88	4.95	4.83	4.83	19301611	94330672.00
2020/04/28	4.85	4.90	4.68	4.84	25333810	122058392.00
2020/04/29	4.88	4.90	4.84	4.87	15499025	75663952.00
2020/04/30	4.85	4.91	4.82	4.85	30807671	149765456.00
2020/05/06	4.77	4.80	4.71	4.76	38809534	184108912.00
2020/05/07	4.77	4.77	4.70	4.73	18442583	87130888.00
2020/05/08	4.75	4.77	4.72	4.74	16079775	76251704.00
2020/05/11	4.74	4.75	4.68	4.69	18937605	89107232.00
2020/05/12	4.70	4.71	4.62	4.63	18035673	83789960.00
2020/05/13	4.63	4.66	4.62	4.65	13181805	61181880.00
2020/05/14	4.64	4.65	4.60	4.61	10711261	49429628.00
2020/05/15	4.62	4.64	4.59	4.59	11641309	53602988.00
2020/05/18	4.65	4.67	4.60	4.63	16580143	76867928.00
2020/05/19	4.65	4.71	4.65	4.66	15616526	72950760.00
2020/05/20	4.65	4.65	4.61	4.62	10795301	49911912.00
2020/05/21	4.64	4.70	4.61	4.62	18179203	84459088.00
2020/05/22	4.60	4.61	4.47	4.48	25157307	113720128.00
2020/05/25	4.50	4.51	4.34	4.36	20789024	91593784.00
2020/05/26	4.37	4.42	4.37	4.40	14454452	63507600.00
2020/05/27	4.40	4.47	4.36	4.43	13431135	59212948.00
2020/05/28	4.41	4.48	4.40	4.41	10864100	48146680.00
2020/05/29	4.42	4.42	4.34	4.36	19201154	83890112.00
2020/06/01	4.45	4.54	4.43	4.49	28649691	128645704.00
2020/06/02	4.50	4.51	4.47	4.48	16713823	75050216.00
2020/06/03	4.49	4.50	4.45	4.45	14751444	65999128.00
2020/06/04	4.46	4.48	4.41	4.42	12430928	55112648.00
2020/06/05	4.44	4.86	4.40	4.86	87249796	416432672.00
2020/06/08	5.06	5.30	4.94	5.10	179767198	920013952.00
2020/06/09	4.94	4.99	4.81	4.84	100925782	492911424.00
2020/06/10	4.84	4.90	4.74	4.79	50676122	243036480.00
2020/06/11	4.78	5.04	4.75	4.86	83841829	412581472.00
2020/06/12	4.73	4.85	4.72	4.78	63397513	303188512.00
2020/06/15	4.74	5.09	4.69	4.89	94915830	464041760.00
2020/06/16	4.93	5.03	4.87	4.93	43896348	216527968.00
