601857 中国石油 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/01/02	5.86	5.88	5.84	5.87	72808500	427014016.00
2020/01/03	5.87	5.99	5.86	5.95	119856782	712671296.00
2020/01/06	6.03	6.28	6.02	6.23	301646124	1859195904.00
2020/01/07	6.17	6.17	6.07	6.11	152681755	931508864.00
2020/01/08	6.26	6.30	6.15	6.23	215451333	1337592320.00
2020/01/09	6.04	6.08	6.00	6.06	159983683	966146240.00
2020/01/10	6.04	6.04	5.96	5.99	92130621	551691392.00
2020/01/13	5.99	5.99	5.93	5.97	55118392	327829664.00
2020/01/14	5.95	5.98	5.94	5.95	44480419	265271840.00
2020/01/15	5.95	5.97	5.86	5.87	72014546	424495008.00
2020/01/16	5.88	5.89	5.81	5.83	57860992	337630240.00
2020/01/17	5.84	5.87	5.83	5.84	36667641	214376976.00
2020/01/20	5.85	5.86	5.81	5.85	53408389	311510560.00
2020/01/21	5.85	5.85	5.78	5.79	56028546	324824576.00
2020/01/22	5.76	5.77	5.71	5.74	66239738	379676576.00
2020/01/23	5.70	5.72	5.62	5.64	81444447	460859104.00
2020/02/03	5.14	5.29	5.08	5.13	227093729	1167352576.00
2020/02/04	5.07	5.19	5.06	5.17	106459420	547645952.00
2020/02/05	5.17	5.27	5.13	5.21	102318674	532964320.00
2020/02/06	5.25	5.29	5.21	5.27	86647363	455310304.00
2020/02/07	5.24	5.28	5.21	5.28	61128263	319828128.00
2020/02/10	5.24	5.29	5.22	5.28	56130919	295251840.00
2020/02/11	5.27	5.34	5.26	5.30	71171722	377281440.00
2020/02/12	5.29	5.32	5.28	5.31	54500038	288657728.00
2020/02/13	5.33	5.35	5.28	5.28	53568587	284224192.00
2020/02/14	5.26	5.30	5.25	5.28	47917020	252872544.00
2020/02/17	5.29	5.38	5.27	5.38	84392095	450155264.00
2020/02/18	5.38	5.38	5.33	5.35	74201915	396980704.00
2020/02/19	5.35	5.36	5.32	5.33	74189083	395688960.00
2020/02/20	5.35	5.38	5.32	5.38	105637160	564952448.00
2020/02/21	5.35	5.38	5.34	5.37	113816298	609926976.00
2020/02/24	5.34	5.34	5.27	5.28	138156164	731039936.00
2020/02/25	5.20	5.22	5.15	5.19	150412876	779444096.00
2020/02/26	5.15	5.24	5.12	5.22	160220097	833178240.00
2020/02/27	5.20	5.21	5.16	5.17	136252257	705610752.00
2020/02/28	5.11	5.14	5.06	5.07	209149489	1064602688.00
2020/03/02	5.11	5.18	5.10	5.17	139114686	716386368.00
2020/03/03	5.23	5.24	5.17	5.19	125035559	650013376.00
2020/03/04	5.18	5.19	5.15	5.18	89700352	463382144.00
2020/03/05	5.20	5.25	5.18	5.25	153980518	803908160.00
