601868 中国能建 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/09/28	2.29	2.75	2.18	2.75	2286699534	5873108992.00
2021/09/29	2.84	3.03	2.79	3.03	1124395231	3298973952.00
2021/09/30	3.15	3.33	2.83	3.02	3456513513	10793990144.00
2021/10/08	2.99	3.04	2.72	2.75	1885824767	5267383808.00
2021/10/11	2.65	2.68	2.48	2.48	1546079753	3921187584.00
2021/10/12	2.46	2.65	2.37	2.61	1556710863	3935621376.00
2021/10/13	2.51	2.57	2.45	2.50	929242005	2330094848.00
2021/10/14	2.46	2.59	2.42	2.51	789797487	1972494336.00
2021/10/15	2.47	2.51	2.44	2.46	561722046	1384971520.00
2021/10/18	2.45	2.54	2.42	2.49	592096410	1471871488.00
2021/10/19	2.46	2.49	2.42	2.44	649395355	1589917184.00
2021/10/20	2.42	2.43	2.33	2.37	799837416	1897691392.00
2021/10/21	2.36	2.41	2.33	2.36	628737416	1489627648.00
2021/10/22	2.34	2.35	2.25	2.25	756292205	1732798976.00
2021/10/25	2.25	2.36	2.20	2.31	699695849	1614073728.00
2021/10/26	2.28	2.44	2.27	2.40	982478116	2326155264.00
2021/10/27	2.36	2.39	2.33	2.35	538921818	1271384960.00
2021/10/28	2.36	2.47	2.35	2.46	928276664	2258370048.00
2021/10/29	2.40	2.43	2.31	2.38	807048167	1907130624.00
2021/11/01	2.36	2.40	2.32	2.37	493266553	1159969024.00
2021/11/02	2.35	2.36	2.27	2.29	579277587	1337431424.00
2021/11/03	2.28	2.34	2.27	2.29	297748591	683993664.00
2021/11/04	2.29	2.32	2.27	2.28	340611310	780430528.00
2021/11/05	2.27	2.27	2.22	2.23	526309069	1177315456.00
2021/11/08	2.24	2.24	2.20	2.21	291046361	645230272.00
2021/11/09	2.22	2.28	2.20	2.23	434137761	968301120.00
2021/11/10	2.21	2.23	2.18	2.22	361962241	796128640.00
2021/11/11	2.21	2.24	2.20	2.23	257230826	571501056.00
2021/11/12	2.22	2.23	2.19	2.21	274587797	606134400.00
2021/11/15	2.20	2.21	2.18	2.19	283204055	620448064.00
2021/11/16	2.18	2.19	2.13	2.14	448122746	966041280.00
2021/11/17	2.13	2.17	2.08	2.14	413534051	879477632.00
2021/11/18	2.13	2.16	2.12	2.14	270064868	577944576.00
2021/11/19	2.13	2.14	2.11	2.14	243586251	516979072.00
2021/11/22	2.13	2.14	2.11	2.12	223283703	474030976.00
2021/11/23	2.12	2.14	2.10	2.12	271959534	576531328.00
2021/11/24	2.11	2.12	2.10	2.11	205574513	433730848.00
2021/11/25	2.11	2.19	2.10	2.17	459136842	990494720.00
2021/11/26	2.15	2.16	2.12	2.13	251036006	536413472.00
2021/11/29	2.15	2.34	2.15	2.34	734825641	1658077824.00
2021/11/30	2.50	2.57	2.40	2.45	2021618847	5005443072.00
2021/12/01	2.38	2.46	2.32	2.40	1061619861	2532039680.00
2021/12/02	2.37	2.57	2.36	2.52	1240841467	3105073920.00
2021/12/03	2.51	2.77	2.47	2.77	1756539477	4686771712.00
2021/12/06	2.84	2.95	2.74	2.78	2228182772	6312701952.00
2021/12/07	2.75	2.89	2.68	2.82	1313901667	3678356480.00
2021/12/08	2.81	2.82	2.71	2.75	1058471403	2907285760.00
2021/12/09	2.73	2.75	2.64	2.66	1178983524	3156718336.00
2021/12/10	2.63	2.71	2.61	2.63	904664045	2394863360.00
2021/12/13	2.71	2.83	2.68	2.69	1391081298	3813362176.00
2021/12/14	2.68	2.71	2.61	2.64	764699048	2024144768.00
2021/12/15	2.63	2.79	2.61	2.71	1069723681	2901495040.00
2021/12/16	2.72	2.81	2.70	2.77	977993122	2691591168.00
2021/12/17	2.76	2.79	2.71	2.72	740666266	2028224128.00
2021/12/20	2.71	2.99	2.67	2.99	2255940136	6505950208.00
2021/12/21	2.95	3.04	2.88	2.94	1532516769	4507817472.00
2021/12/22	2.98	2.99	2.80	2.80	1354538248	3881555456.00
2021/12/23	2.77	2.89	2.74	2.84	825631086	2334573568.00
2021/12/24	2.83	2.92	2.79	2.87	825612306	2365490944.00
2021/12/27	2.85	2.92	2.82	2.84	659781174	1891138944.00
2021/12/28	2.82	2.83	2.70	2.73	814646454	2235245056.00
2021/12/29	2.72	2.76	2.70	2.72	375450303	1021644416.00
2021/12/30	2.70	2.74	2.67	2.70	396136512	1071054720.00
2021/12/31	2.73	2.77	2.72	2.73	393351386	1077988352.00
2022/01/04	2.74	2.79	2.72	2.73	452660572	1244138368.00
2022/01/05	2.71	2.73	2.66	2.67	487247267	1305373056.00
2022/01/06	2.65	2.88	2.65	2.83	983876261	2736302080.00
2022/01/07	2.82	2.94	2.80	2.84	1014783121	2922682112.00
2022/01/10	2.83	2.87	2.76	2.83	563269979	1585700224.00
2022/01/11	2.81	2.86	2.76	2.78	513904413	1442712960.00
2022/01/12	2.78	2.80	2.73	2.76	353681856	973013888.00
2022/01/13	2.75	2.76	2.70	2.71	331715951	902864192.00
2022/01/14	2.70	2.71	2.67	2.68	317814154	854545856.00
2022/01/17	2.67	2.72	2.66	2.69	266558944	716550528.00
2022/01/18	2.72	2.88	2.71	2.81	925446069	2593437696.00
2022/01/19	2.78	2.81	2.73	2.76	504914257	1395241600.00
2022/01/20	2.76	2.86	2.73	2.81	732917673	2055091456.00
2022/01/21	2.78	2.81	2.68	2.71	558993578	1533219200.00
2022/01/24	2.68	2.76	2.67	2.71	349807329	950711040.00
2022/01/25	2.69	2.71	2.63	2.63	452599563	1206177152.00
2022/01/26	2.64	2.68	2.63	2.66	269821570	717272000.00
2022/01/27	2.64	2.70	2.62	2.65	324067309	861789248.00
2022/01/28	2.67	2.68	2.57	2.64	304909828	797919424.00
2022/02/07	2.67	2.80	2.67	2.80	723390142	1986908032.00
2022/02/08	2.80	2.81	2.73	2.81	614380848	1704183680.00
2022/02/09	2.80	2.84	2.78	2.81	443003433	1241221120.00
2022/02/10	2.82	3.01	2.80	2.93	1205700703	3520962048.00
2022/02/11	2.88	2.93	2.82	2.84	737726304	2119102720.00
2022/02/14	2.81	2.83	2.75	2.77	514334926	1434045312.00
2022/02/15	2.76	2.79	2.75	2.77	337128399	933511488.00
2022/02/16	2.80	2.84	2.78	2.82	417846671	1171421568.00
2022/02/17	2.82	2.82	2.76	2.77	376604751	1045979776.00
2022/02/18	2.75	2.80	2.72	2.80	373316503	1031949504.00
2022/02/21	2.79	2.79	2.75	2.78	318110123	880512320.00
2022/02/22	2.75	2.76	2.71	2.72	388451305	1060160576.00
2022/02/23	2.72	2.76	2.72	2.76	267414768	733089216.00
2022/02/24	2.74	2.76	2.64	2.69	551167724	1484942976.00
2022/02/25	2.69	2.72	2.67	2.70	303661190	819810432.00
2022/02/28	2.69	2.70	2.66	2.70	400358139	1074075520.00
2022/03/01	2.70	2.73	2.69	2.72	232943875	632265664.00
2022/03/02	2.70	2.72	2.69	2.70	188105567	507663872.00
2022/03/03	2.70	2.74	2.70	2.72	258895276	703100992.00
2022/03/04	2.70	2.71	2.67	2.68	234736359	629408192.00
2022/03/07	2.67	2.72	2.66	2.67	288476128	775037248.00
2022/03/08	2.67	2.68	2.60	2.61	371118354	977048960.00
2022/03/09	2.62	2.64	2.35	2.57	468798540	1193013504.00
2022/03/10	2.60	2.63	2.57	2.59	275389859	713648384.00
2022/03/11	2.56	2.56	2.46	2.55	356788558	896064320.00
2022/03/14	2.51	2.53	2.47	2.47	236697848	591780864.00
2022/03/15	2.45	2.45	2.31	2.32	468248133	1112855040.00
2022/03/16	2.36	2.42	2.29	2.40	449328610	1056475520.00
2022/03/17	2.42	2.45	2.40	2.41	372303118	902103872.00
2022/03/18	2.39	2.48	2.38	2.48	374259684	914648320.00
2022/03/21	2.48	2.48	2.43	2.45	260147805	638926592.00
2022/03/22	2.43	2.47	2.43	2.44	168820775	413027072.00
2022/03/23	2.47	2.53	2.46	2.48	345602745	859557952.00
2022/03/24	2.46	2.46	2.42	2.42	252980192	615603968.00
2022/03/25	2.43	2.43	2.38	2.39	199097678	477937056.00
2022/03/28	2.37	2.41	2.34	2.40	193437945	459996832.00
2022/03/29	2.40	2.42	2.37	2.38	132538207	316623104.00
2022/03/30	2.40	2.44	2.39	2.43	226095184	545982144.00
2022/03/31	2.43	2.52	2.42	2.44	299248459	736555776.00
2022/04/01	2.41	2.49	2.40	2.47	247899937	605928000.00
2022/04/06	2.46	2.52	2.44	2.51	336150063	835066048.00
2022/04/07	2.49	2.52	2.45	2.45	299214349	743755392.00
2022/04/08	2.46	2.55	2.46	2.55	565976381	1427920640.00
2022/04/11	2.56	2.56	2.48	2.49	415007590	1044394368.00
2022/04/12	2.46	2.49	2.42	2.49	295680645	727225280.00
2022/04/13	2.47	2.48	2.44	2.44	198977946	488635616.00
2022/04/14	2.45	2.48	2.44	2.46	195922398	481339744.00
2022/04/15	2.44	2.47	2.43	2.44	200275237	489485472.00
2022/04/18	2.42	2.42	2.38	2.40	225662637	540539904.00
2022/04/19	2.38	2.43	2.38	2.42	165930974	400231360.00
2022/04/20	2.42	2.44	2.37	2.38	166706102	399722624.00
2022/04/21	2.38	2.39	2.33	2.34	193196774	454898432.00
2022/04/22	2.32	2.37	2.31	2.35	187540677	439634176.00
2022/04/25	2.33	2.34	2.25	2.26	288058141	662842816.00
2022/04/26	2.25	2.31	2.23	2.27	264969836	600455744.00
2022/04/27	2.27	2.37	2.27	2.37	417627771	973814208.00
2022/04/28	2.35	2.39	2.32	2.39	326973560	769889792.00
2022/04/29	2.39	2.43	2.37	2.42	338609198	812283136.00
2022/05/05	2.42	2.45	2.39	2.40	252314259	606833984.00
2022/05/06	2.36	2.36	2.32	2.33	220464166	515720992.00
2022/05/09	2.32	2.36	2.31	2.33	147947220	345849568.00
2022/05/10	2.31	2.38	2.30	2.38	253695698	595487936.00
2022/05/11	2.36	2.39	2.35	2.35	241708296	573191040.00
2022/05/12	2.35	2.38	2.33	2.35	184972948	435744864.00
2022/05/13	2.35	2.36	2.33	2.35	148116761	347291008.00
2022/05/16	2.36	2.37	2.33	2.34	124140200	290518080.00
2022/05/17	2.33	2.34	2.31	2.32	139993669	324689632.00
2022/05/18	2.32	2.33	2.31	2.31	127578769	295664192.00
2022/05/19	2.29	2.36	2.28	2.36	266571742	620123712.00
2022/05/20	2.35	2.36	2.34	2.36	195908347	460643712.00
2022/05/23	2.36	2.36	2.33	2.34	133660180	312535232.00
2022/05/24	2.34	2.35	2.29	2.29	202517466	468013664.00
2022/05/25	2.28	2.34	2.28	2.34	232220433	536261632.00
2022/05/26	2.34	2.38	2.33	2.34	268054783	630405056.00
2022/05/27	2.34	2.35	2.32	2.34	180145826	420900128.00
2022/05/30	2.34	2.35	2.32	2.33	153866060	358306592.00
2022/05/31	2.33	2.34	2.30	2.33	191461590	443244288.00
2022/06/01	2.32	2.33	2.30	2.31	145920642	337298720.00
2022/06/02	2.32	2.33	2.31	2.32	171639247	397546048.00
2022/06/06	2.31	2.34	2.30	2.34	203288326	471567840.00
2022/06/07	2.33	2.34	2.32	2.33	154702729	360053664.00
2022/06/08	2.34	2.40	2.33	2.37	378898358	896725056.00
2022/06/09	2.36	2.52	2.35	2.45	675023825	1657060224.00
2022/06/10	2.42	2.43	2.38	2.43	383115796	920087616.00
2022/06/13	2.40	2.41	2.37	2.38	248712598	592954816.00
2022/06/14	2.36	2.40	2.35	2.39	228799999	542815488.00
2022/06/15	2.39	2.45	2.38	2.41	381505192	924304640.00
2022/06/16	2.41	2.42	2.37	2.38	243763168	582083136.00
2022/06/17	2.36	2.39	2.35	2.38	181260964	429498880.00
2022/06/20	2.38	2.41	2.36	2.38	201000433	478821312.00
2022/06/21	2.38	2.41	2.37	2.39	215107331	513361056.00
2022/06/22	2.39	2.39	2.36	2.36	161905227	383626336.00
2022/06/23	2.36	2.37	2.34	2.37	168847446	397700512.00
2022/06/24	2.37	2.37	2.35	2.37	150442289	354814304.00
2022/06/27	2.37	2.39	2.36	2.37	185096159	439928672.00
2022/06/28	2.38	2.39	2.36	2.38	202616046	480352256.00
2022/06/29	2.38	2.44	2.37	2.39	301354095	723964608.00
2022/06/30	2.38	2.40	2.36	2.37	226210572	537113152.00
2022/07/01	2.37	2.40	2.36	2.38	214650514	510580800.00
2022/07/04	2.37	2.38	2.36	2.37	143519839	339953504.00
2022/07/05	2.37	2.40	2.36	2.38	256882969	611150464.00
2022/07/06	2.37	2.38	2.33	2.34	247040740	581249984.00
2022/07/07	2.34	2.35	2.33	2.34	130986718	306562016.00
2022/07/08	2.35	2.36	2.34	2.34	110814929	260291872.00
2022/07/11	2.35	2.35	2.33	2.34	137592160	322148928.00
2022/07/12	2.34	2.40	2.33	2.39	387564346	921522688.00
2022/07/13	2.40	2.43	2.39	2.42	344903077	830149312.00
2022/07/14	2.41	2.42	2.38	2.39	189003212	452081216.00
2022/07/15	2.39	2.39	2.33	2.33	217986280	513497280.00
2022/07/18	2.33	2.37	2.33	2.36	194440848	457572704.00
2022/07/19	2.37	2.37	2.34	2.35	161670210	380106272.00
2022/07/20	2.36	2.36	2.34	2.35	110790043	259836336.00
2022/07/21	2.35	2.35	2.32	2.33	175599436	409663744.00
2022/07/22	2.33	2.34	2.32	2.33	121340332	282493216.00
2022/07/25	2.33	2.34	2.30	2.30	145247744	335853760.00
2022/07/26	2.30	2.32	2.30	2.31	100687494	232488688.00
2022/07/27	2.32	2.32	2.30	2.30	83647955	192732176.00
2022/07/28	2.31	2.32	2.30	2.31	124537868	287761056.00
2022/07/29	2.31	2.32	2.28	2.29	201699490	463417088.00
2022/08/01	2.30	2.31	2.28	2.29	154337780	353761568.00
2022/08/02	2.28	2.29	2.20	2.23	274013156	612495360.00
2022/08/03	2.22	2.24	2.21	2.21	144293299	320499840.00
2022/08/04	2.21	2.23	2.21	2.22	88188281	195703296.00
2022/08/05	2.22	2.24	2.21	2.24	112400893	250063008.00
