002602 ST华通 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/01/02	11.61	12.24	11.49	12.18	73420866	880699776.00
2020/01/03	12.70	12.98	12.44	12.76	91608750	1169246592.00
2020/01/06	12.60	12.93	12.44	12.85	75148930	956091200.00
2020/01/07	13.03	13.44	12.88	13.30	70226449	923838400.00
2020/01/08	13.00	13.06	12.50	12.63	64479693	825173632.00
2020/01/09	12.89	13.13	12.73	12.87	46609188	601219584.00
2020/01/10	12.81	13.00	12.62	12.84	24098131	308530816.00
2020/01/13	12.91	13.15	12.36	12.79	36126238	456469696.00
2020/01/14	12.93	13.69	12.86	13.37	58712490	777384128.00
2020/01/15	13.33	13.52	12.69	13.00	41455731	541742464.00
2020/01/16	13.19	13.21	12.90	12.91	37897004	493159392.00
2020/01/17	12.97	13.23	12.76	12.92	28732812	370457056.00
2020/01/20	12.82	13.05	12.69	12.85	36775574	472748640.00
2020/01/21	12.87	13.02	12.41	12.92	45255917	576637184.00
2020/01/22	12.74	12.85	12.20	12.82	41733309	524795360.00
2020/01/23	12.68	13.18	12.00	12.70	46039303	584487616.00
2020/02/03	11.43	12.25	11.43	11.66	60429257	706727552.00
2020/02/04	11.68	12.50	11.60	12.42	46464001	559340608.00
2020/02/05	12.48	12.48	11.83	11.92	73053896	885737280.00
2020/02/06	11.98	13.10	11.98	13.00	79290276	1002811968.00
2020/02/07	13.13	13.99	12.85	13.77	95095181	1293023872.00
2020/02/10	14.12	14.59	13.82	14.08	84116796	1188573952.00
2020/02/11	14.09	14.44	13.61	14.13	60475722	850711808.00
2020/02/12	14.16	15.33	14.16	15.09	70367009	1040311040.00
2020/02/13	15.25	15.81	15.05	15.19	61677152	946817856.00
2020/02/14	14.98	15.48	14.87	15.22	60087094	910180224.00
2020/02/17	15.26	15.45	14.93	15.01	64671257	981404480.00
2020/02/18	15.02	15.55	14.91	15.19	64576295	981267072.00
2020/02/19	15.16	15.18	14.48	14.80	75070892	1104645888.00
2020/02/20	14.75	14.79	13.99	14.53	63172977	905429824.00
2020/02/21	14.58	15.03	14.36	14.69	52027467	766920896.00
2020/02/24	14.51	15.05	14.50	14.91	61938115	915583552.00
2020/02/25	14.70	14.91	14.12	14.53	64703078	937049152.00
2020/02/26	14.39	14.39	13.81	13.82	64771706	910311616.00
2020/02/27	14.00	14.28	13.67	13.95	63901257	897035456.00
2020/02/28	13.75	14.53	13.33	13.45	69017229	958265984.00
2020/03/02	13.91	14.15	12.70	13.37	90869918	1202113664.00
2020/03/03	13.52	13.89	13.01	13.15	73222129	982159488.00
2020/03/04	13.12	13.70	12.97	13.58	51047639	680652096.00
2020/03/05	13.61	14.06	13.48	14.04	55796384	768979328.00
2020/03/06	13.90	14.30	13.74	14.11	63713851	891729600.00
2020/03/09	13.90	13.90	13.13	13.16	51141956	688931136.00
2020/03/10	13.00	14.10	12.83	13.90	61126803	825712128.00
2020/03/11	13.94	14.06	13.48	13.54	32014451	441234880.00
2020/03/12	13.20	13.50	13.04	13.19	29520736	390712544.00
2020/03/13	12.35	13.09	12.18	12.97	43203240	546946752.00
2020/03/16	13.03	13.82	12.76	12.99	61550960	818368960.00
2020/03/17	13.09	13.42	12.88	13.27	47777678	628450304.00
2020/03/18	13.55	14.03	13.29	13.29	56873211	775828416.00
2020/03/19	13.45	14.08	13.34	14.07	72098954	991159872.00
2020/03/20	14.40	14.85	14.28	14.45	73091484	1065837632.00
2020/03/23	14.01	14.54	13.70	13.87	45480080	642353728.00
2020/03/24	14.19	14.32	13.24	13.74	47579105	653855680.00
2020/03/25	14.02	14.50	13.85	14.40	42475993	605190912.00
2020/03/26	14.27	14.48	13.92	14.04	34810420	493351552.00
2020/03/27	14.19	14.25	13.24	13.35	51183929	696242880.00
2020/03/30	13.01	13.08	12.34	12.56	41276552	523491488.00
2020/03/31	12.76	12.89	12.18	12.35	41337068	515081728.00
