300602 飞荣达 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/01/02	18.02	18.10	17.37	17.37	11298215	199858992.00
2024/01/03	17.29	17.42	16.66	16.91	11011201	186823328.00
2024/01/04	16.80	17.14	16.63	16.98	6558583	110771864.00
2024/01/05	17.03	17.15	16.51	16.66	6488751	108859368.00
2024/01/08	16.54	16.90	16.45	16.46	6525052	108942816.00
2024/01/09	16.46	16.95	16.07	16.36	6677873	110098304.00
2024/01/10	16.23	16.41	15.47	15.63	10770797	169878352.00
2024/01/11	15.55	15.91	15.39	15.84	12358096	193445648.00
2024/01/12	15.84	15.88	15.11	15.20	11817908	181851744.00
2024/01/15	15.16	15.42	15.08	15.17	5441987	82882240.00
2024/01/16	15.18	15.33	14.66	15.02	8579678	128561056.00
2024/01/17	15.03	15.04	14.26	14.33	9383677	137159088.00
2024/01/18	14.30	14.47	13.93	14.44	8705436	123547528.00
2024/01/19	14.43	14.65	14.25	14.29	5527156	79723056.00
2024/01/22	14.38	14.56	13.06	13.22	9099221	124649704.00
2024/01/23	13.31	13.56	13.06	13.26	9661619	128532552.00
2024/01/24	13.42	13.56	12.65	13.29	10134121	132234776.00
2024/01/25	13.45	13.81	13.12	13.70	9764333	132353000.00
2024/01/26	13.65	13.68	13.21	13.28	7138618	95811592.00
2024/01/29	13.32	13.43	12.60	12.68	8501546	109473984.00
2024/01/30	12.78	12.89	12.18	12.22	9606463	120631264.00
2024/01/31	12.34	12.46	11.40	11.46	10538200	124210832.00
2024/02/01	11.45	11.79	11.15	11.51	10108653	115782856.00
2024/02/02	11.54	11.70	10.22	10.70	13359433	145963536.00
2024/02/05	10.68	10.76	9.23	9.52	17752033	174156272.00
2024/02/06	9.25	10.24	9.05	10.00	16299309	156746528.00
2024/02/07	9.97	10.90	9.93	10.55	17783114	187275136.00
2024/02/08	10.63	11.86	10.56	11.75	17074532	194438000.00
2024/02/19	11.86	12.27	11.57	11.95	18221856	217108928.00
2024/02/20	11.95	12.13	11.66	12.08	12390125	147917360.00
2024/02/21	11.90	12.66	11.81	12.20	12856319	157625520.00
2024/02/22	12.30	13.15	12.28	13.06	18321214	235405408.00
2024/02/23	13.45	13.80	13.08	13.71	18879588	255040528.00
2024/02/26	13.61	14.30	13.45	13.93	17391694	241898096.00
2024/02/27	13.91	15.20	13.75	15.08	22375604	323032448.00
2024/02/28	14.90	15.08	13.30	13.37	29059823	415090688.00
2024/02/29	13.12	14.69	13.06	14.41	19531620	273444256.00
2024/03/01	14.47	15.42	14.41	15.40	24918680	375846048.00
2024/03/04	16.28	17.50	15.75	16.81	47278603	777909120.00
2024/03/05	16.13	17.14	15.98	16.39	35666924	587825152.00
2024/03/06	16.09	16.65	15.74	16.14	26305710	423564224.00
2024/03/07	16.54	17.00	15.93	15.95	26049231	428333280.00
2024/03/08	15.88	16.80	15.82	16.49	24864844	407811936.00
2024/03/11	16.30	18.00	15.99	17.55	39214141	665953984.00
2024/03/12	17.60	17.60	16.70	17.00	30004670	512357312.00
2024/03/13	17.25	17.25	16.74	16.82	21301223	361994016.00
2024/03/14	16.52	16.80	16.27	16.58	16344336	269652640.00
2024/03/15	16.66	16.97	16.49	16.90	16171660	271361344.00
2024/03/18	17.18	17.52	16.94	17.50	22968117	396695328.00
2024/03/19	17.35	17.59	17.21	17.33	15930316	277116960.00
2024/03/20	17.35	17.57	17.10	17.40	13968703	241844992.00
2024/03/21	17.39	17.41	16.93	17.02	15893434	271717056.00
2024/03/22	17.02	17.30	16.78	17.00	14260965	243079712.00
2024/03/25	17.00	17.38	16.37	16.37	15171491	257458368.00
2024/03/26	16.11	16.66	16.03	16.20	12841881	209605104.00
2024/03/27	16.20	16.20	15.20	15.24	13588117	211514992.00
2024/03/28	15.17	16.31	15.16	16.16	13636638	217182544.00
2024/03/29	16.25	17.25	15.70	17.22	24649233	411052864.00
2024/04/01	17.41	17.92	16.99	17.20	28302132	490123584.00
2024/04/02	17.00	17.03	16.42	16.59	18427092	307321792.00
2024/04/03	16.51	16.51	15.70	16.00	14283129	228586320.00
2024/04/08	15.88	15.98	15.46	15.48	9522932	149381280.00
2024/04/09	15.51	15.73	15.13	15.40	9620001	147968560.00
2024/04/10	15.44	15.44	14.51	14.77	11613581	171881456.00
2024/04/11	14.61	15.05	14.61	14.66	8158854	121080608.00
2024/04/12	14.69	15.06	14.68	14.71	8309000	123262064.00
2024/04/15	14.50	14.90	13.66	13.94	15132269	213955472.00
2024/04/16	14.52	14.70	13.69	13.95	17201054	243888192.00
2024/04/17	14.20	15.00	14.20	14.99	17890867	264241456.00
2024/04/18	15.00	15.35	14.56	14.94	14938022	223823952.00
2024/04/19	14.69	14.90	14.22	14.32	12707940	184001840.00
2024/04/22	13.90	14.30	13.61	14.00	9774629	136567008.00
2024/04/23	14.02	14.35	13.86	14.09	6888673	96988536.00
2024/04/24	14.13	14.64	14.12	14.64	9492994	136982640.00
2024/04/25	14.64	14.92	14.47	14.51	9125131	133975064.00
2024/04/26	14.66	15.30	14.56	15.15	15248105	229563888.00
2024/04/29	15.19	15.57	15.16	15.40	12600207	193452080.00
2024/04/30	15.34	15.47	14.94	15.11	11052069	167543936.00
2024/05/06	15.49	15.66	15.22	15.29	9886741	151794192.00
2024/05/07	15.34	15.43	15.00	15.11	8050902	122247240.00
2024/05/08	15.14	15.15	14.62	14.67	7980175	118131496.00
2024/05/09	14.74	15.02	14.68	14.85	7024136	104587864.00
2024/05/10	14.90	14.93	14.36	14.38	8901005	128937784.00
2024/05/13	14.14	14.63	13.91	14.15	7676298	109461520.00
2024/05/14	14.24	14.61	14.22	14.26	6188305	88919920.00
2024/05/15	14.38	14.66	14.24	14.30	8030481	115936264.00
2024/05/16	14.18	14.40	14.00	14.05	8004787	113199864.00
2024/05/17	14.05	14.54	13.96	14.51	8147448	116611560.00
2024/05/20	14.60	14.65	14.34	14.48	6459145	93514800.00
2024/05/21	14.41	14.95	14.33	14.70	11526110	169868256.00
2024/05/22	14.50	14.75	14.26	14.68	9250624	134137096.00
2024/05/23	14.79	17.08	14.79	16.22	48963492	780760384.00
2024/05/24	15.90	17.95	15.67	16.83	74063217	1244497024.00
2024/05/27	16.27	16.54	15.66	15.85	48096982	771801600.00
2024/05/28	15.63	15.79	15.25	15.52	29465598	455868448.00
2024/05/29	15.57	16.47	15.36	16.29	46527496	745867648.00
2024/05/30	15.98	16.74	15.54	15.65	34487840	549368896.00
2024/05/31	16.05	17.68	16.05	16.72	61249755	1031408576.00
2024/06/03	17.03	17.49	16.30	16.73	52237132	881904256.00
2024/06/04	16.28	16.30	15.48	15.90	36072126	569844992.00
2024/06/05	15.68	16.01	15.45	15.81	23519398	370407296.00
2024/06/06	15.85	15.97	14.05	14.45	36806351	545289152.00
2024/06/07	14.61	14.87	14.10	14.28	20778856	299788128.00
2024/06/11	14.18	14.60	13.68	14.56	14725385	209678208.00
2024/06/12	14.80	15.71	14.77	15.26	27407210	419860064.00
2024/06/13	15.18	15.40	15.03	15.06	17343565	263319392.00
2024/06/14	14.90	15.25	14.72	15.21	14463569	218116928.00
2024/06/17	15.08	15.74	15.03	15.58	19079725	295579040.00
2024/06/18	15.44	15.84	15.44	15.68	16890379	264300400.00
2024/06/19	15.66	15.79	15.27	15.31	14738093	227217552.00
2024/06/20	15.21	15.32	14.81	14.83	12975604	195031776.00
2024/06/21	14.71	14.99	14.52	14.78	8376587	123970560.00
2024/06/24	14.72	14.83	13.94	13.99	12153992	174274320.00
2024/06/25	14.07	14.17	13.64	13.86	12452894	172611536.00
2024/06/26	13.78	14.35	13.59	14.32	10296701	144160592.00
2024/06/27	14.19	14.56	14.03	14.05	10462254	149542144.00
2024/06/28	14.00	15.96	13.91	15.11	29087424	438076576.00
2024/07/01	15.02	15.44	14.42	14.76	15679426	230679232.00
2024/07/02	14.70	14.79	14.33	14.45	11792600	170873984.00
2024/07/03	14.45	14.58	14.08	14.32	9797749	140284096.00
2024/07/04	14.43	14.54	13.91	13.93	11297500	159912784.00
2024/07/05	13.89	14.24	13.64	14.13	10416655	145491808.00
2024/07/08	14.12	14.25	13.70	13.72	8979966	124640360.00
2024/07/09	13.75	14.70	13.71	14.70	19516420	279468512.00
2024/07/10	14.70	14.79	14.46	14.59	12607325	184448336.00
2024/07/11	14.82	15.00	14.55	14.88	15438611	228682752.00
2024/07/12	14.69	14.81	14.51	14.75	10098337	147931776.00
2024/07/15	14.68	14.71	14.40	14.51	8593857	124902592.00
2024/07/16	15.15	15.15	14.73	14.92	27185739	405768000.00
2024/07/17	14.88	14.90	14.26	14.27	17692282	256758928.00
2024/07/18	14.00	14.44	13.78	14.24	13311818	187590672.00
2024/07/19	14.24	14.52	14.10	14.26	10519600	151037056.00
2024/07/22	14.43	14.68	14.32	14.42	9954782	143996560.00
2024/07/23	14.34	14.42	13.86	13.87	9924183	139515568.00
2024/07/24	14.06	14.68	13.96	14.05	14052368	201345360.00
2024/07/25	13.72	13.97	13.39	13.81	13175395	179826464.00
2024/07/26	13.77	14.10	13.71	13.95	8154699	113584808.00
2024/07/29	13.95	14.06	13.76	13.90	6708576	93357272.00
2024/07/30	13.75	14.00	13.64	13.89	6436110	89040624.00
2024/07/31	13.98	14.55	13.90	14.46	14130763	202135408.00
2024/08/01	14.56	14.63	14.27	14.30	10804367	155750176.00
2024/08/02	14.21	14.22	13.78	13.84	11023147	154088064.00
2024/08/05	13.65	13.85	13.15	13.17	11967000	161582432.00
2024/08/06	13.46	13.57	13.21	13.34	5620257	75062584.00
2024/08/07	13.40	13.49	13.25	13.35	5123580	68607672.00
2024/08/08	13.28	13.45	13.02	13.27	6714474	88812688.00
2024/08/09	13.28	13.62	13.28	13.33	6689262	89949000.00
2024/08/12	13.32	13.45	13.06	13.10	5466826	72260400.00
